"序号","图像存储名称","画作名称","作者姓名","作者出生年份","作者出生地","作者流派","创作年代","创作朝代","实际尺寸","收藏机构","分类","题材","画作流派","风格","色彩","构图","意境","笔法","墨法","绘画材料","颜料","印章","文化符号","文本生成","音乐情境生成","收集平台"
"1","1（1）","禽鸟图","詹景凤","1532","安徽省休宁县流塘村","明代画家，其风格融合了北宋赵令穰、惠崇以及唐代王维等人的技法与审美情趣","1592","明代","110.5×42cm","北京匡时2013冬拍拍品","花鸟画","水鸭、飞鸟","明代浙派","兼工带写","积染","对角构图","宁静、活泼","如皴法（披麻皴、斧劈皴）、点苔法等，用浓墨勾出大翅羽毛，再用淡墨补足水鸭的结构。","泼墨、淡墨、浓墨","宣纸","","","钤印：詹景凤（白文）、玉林（朱文）、盘薄处（白文）","这幅画作的构图通过强烈的纵向分割，创造了一种高低对比，表现出空间的深度和开阔感。线条质量上，画家运用了细腻柔和的方式，勾勒出禽鸟与树木的精致形态。动态与姿态更令人注目，十几只飞鸟顺着一条弧形轨迹飞升，营造出生机勃勃的动感。色彩搭配温润和谐，利用淡雅的背景和填充物使主体更加突出。树木与禽鸟的结合蕴含丰富的象征意义，用以描绘自然生命与和谐之美，通过象征与图像传达出哲学的深意与对自然的敬仰。","本乐曲意境宁静，富有诗意，以古琴、箫、筝等乐器为伴奏，采用道教禅修风格，节奏舒缓流畅，表现鸟儿飞翔、树木孤寂的自然宁静景象，令人心平气和，省思自省。","雅昌"
"2","1（2）","摹马守贞兰竹","潘恭寿","1741","江苏镇江","京江画派","1813","清代","109×28cm","","花鸟画","兰竹","京江画派","兼工带写","墨色","","清幽","多用笔苍劲峭","墨色沉雄浓郁
","","1","","钤印：潘氏慎夫","这幅画作中，线条质量尤为突出，细致且流畅的线条勾勒出兰花和竹子的动感，显得生动且富有活力。构图上采用传统的垂直布局，使得整个画面显得简洁而高雅。明暗对比通过墨色的浓淡变化呈现，自然地形成了景物之间的层次感。动态与姿态方面，兰花叶片与竹枝在画中似乎随风轻摇，赋予作品一种自然的生命气息。视觉上的象征与图像，寓意着高洁的品德和顽强的生命力，给予观者精神上的启迪与共鸣。","本乐曲的意境是冥想式的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现竹石交错、清幽静谧的园林景象，营造出一种平和、沉思的氛围。","雅昌"
"3","1（3）","柳荫群鸭图","林良","1426","广东广州","明代院体","明代","明代","139x81cm","美国达拉斯艺术馆","花鸟画","柳树、水鸭","明代院体","写意","墨色","横向构图","清幽、灵动","水墨刷扫，笔法纵逸","墨色灵活，浓淡相宜","纸本","","
","钤印：以善图书","画作运用精巧的构图，展现出自然环境中的和谐美感，水禽在画面上分布均衡，不同姿态的表现使整体布局动静结合。线条的质量细腻流畅，特别是在枝叶的描绘中体现了传统笔墨的韵味。色彩搭配则以沉稳的棕色和淡雅的绿色为主，营造出宁静的氛围，强化了画面的主题意境。在尺度与比例上，水禽与环境背景在尺寸上保持协调，强调了自然中的秩序和生物的和谐共存。","这首乐曲的意境是宁静而富有诗意的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现宁静的湖畔，水鸟在垂柳间安息的景象，捕捉自然与生命的温柔和谐。","雅昌"
"4","1（4）","远水花香","周让","1862","浙江绍兴","","","清代","101x52cm","","花鸟画","","","小写意","","","","","","","","","钤印：老铁(白)","这幅画作以其卓越的线条质量脱颖而出，笔触流畅而富有表现力，营造出一种轻盈自然的氛围。构图上，作品通过植物枝叶的倾斜排列巧妙地引导观者的视线，从左下角逐渐向右上方延伸，营造出一种动感。明暗对比处理恰到好处，丰富了画面的层次感，同时突出主体元素的立体感。形状的塑造也颇具匠心，花卉的细节描绘细致入微，别具一格。而在动态与姿态的表现上，画作中的每一根枝条和花瓣似乎都在微风中轻轻摇曳，生动地捕捉了大自然的灵动之美。","此乐曲意境宁静安详，宜用古琴、箫，以道教禅定音乐风格，节奏舒缓流畅，表现云雾缭绕的山林仙境景象。","雅昌"
"5","1（5）","怪石图","米万钟","1570","甘肃庆阳","明代文人画","代万历至天启年","明代","99x68cm","杭州博物馆","花鸟画","赏石","明代文人画","写意","墨色","垂直构图","奇峭、瘦透漏皱之韵，带有“尚奇""“审丑""的风格","极细密的皴法，类似英石的雨点花","墨色深浅变化","纸本","","“米万钟字仲诏""“结交尽奇石","钤印：张肩(白)","这幅画作通过精细的线条质量，展现出细腻而流动的表现力，仿佛让观者感受到一种自然的力量。构图上，画面极具动态性，不规则的形状穿插着，形成一种有机的平衡，观者的视线被不断引导穿梭于形体之间。肌理处理尤为精彩，层叠的笔触制造出强烈的视觉触感，仿佛能感受到坚硬岩石的粗糙质感。形状的变化丰富，既有尖锐的凸出又有柔和的曲线，与整体的尺度和比例相得益彰，展现出自然山石的宏伟与细致，强化了画作中的空间感和深度。","此乐曲意境宁静致远，宜用古琴、箫等乐器，采用道教禅修音乐风格，节奏舒缓流畅，表现宁静的山间景色。","雅昌"
"6","1（6）","竹石图","张肩","","湖州南浔","清代文人画","康熙年间为1662-1722","清代","155×82cm","海南省直辖县级屯昌县数字博物馆","花鸟画"," 竹石","清代文人画","写意","墨色","垂直构图","清逸、坚劲森密，表现竹的骨秀神寒","以墨竹见长，笔法坚劲","以墨色表现竹的质感","纸本","","","","这幅画在形式上展现出卓越的艺术技巧。线条质量上，绘者采用了细致而坚定的笔触，展现出竹的劲韧与石的稳重，线条的粗细变化增加了画面的层次感。构图方面，竹与石的配置相辅相成，动静结合，使人感受到自然的和谐与生命的韧性。肌理处理上，竹节的光滑质感与石头的粗犷形成鲜明对比，增添了画面的深度。形状上，竹叶的形状富有节奏感，呈现出自然的生动姿态。动态与姿态通过微风拂过竹叶的细腻刻画表现出来，赋予画面一种灵动的气息。这样的作品，不仅是一幅静物画，更是自然生命力的生动体现。","本乐曲的意境是宁静、诗意的，用古琴、箫等乐器演奏，采用中国传统古典音乐风格，节奏舒缓、流畅，表现宁静的竹林景象。","雅昌"
"7","1（7）","鹰","周顺昌","1584","江苏苏州","明代文人画","1625","明代","109x40.5cm","","花鸟画"," 鹰","明代文人画","写意","墨色","","清逸、高洁","","","","","","钤印：周顺昌
鉴藏印：倪恩庆（19-20世纪）：园鉴藏金石书画之记、曾在倪覃园处","0","本乐曲的意境是诗意宁静的，应以古琴、箫等乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现孤鸟栖息在古树枝头的宁静景象，气氛静谧、沉思。","雅昌"
"8","1（8）","春荣喜浴图","沈昭","","江苏苏州","明代文人画","乙亥年","明代","136.5x53.5cm","","花鸟画","","明代文人画","写意","青绿","垂直构图","清逸、高洁","","","绢本","","","钤印：沈振之印 (白文）、振侯氏 (朱文）、沈(朱文）、琴(白文)","这幅作品的构图呈现出精妙的平衡，花枝自上方倾泻而下，与画面中央两只喜鹊形成动态对比，整体布局和谐且富有生气。线条流畅而富有韵律，特别是在描绘鸟羽和树枝时，展现出娴熟的笔触技巧。色彩搭配上以柔和的色调为主，花瓣的淡粉与喜鹊的灰黑形成鲜明对比，增加了画面的层次感。动态与姿态的表现精准，喜鹊互动的姿态生动活泼，仿佛在画面上活了起来。尺度与比例方面，整体布局使得主体与背景的大小恰到好处，使画作充盈而不失空灵之感。","本乐曲意境宁静，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐，节奏舒缓流畅，表现春光明媚、枝头繁花、百鸟和鸣的宁静景象。","雅昌"
"9","1（9）","山水花卉人物","任伯年 ","1840","浙江绍兴","海派","1860-1896","清代","36.5×16.5cmx4","","花鸟画","山水、花鸟、人物","海派","兼工带写，清新流畅，雅俗共赏","淡彩、明净","新巧，疏密有致","生动活泼，富有诗意","简逸放纵","","纸本","植物染料","","","这幅作品在构图上采用了中国传统长卷式布局，以山水、花卉和人物的精巧组合显示出细致的层次感。线条质量优雅流畅，具有强烈的书法气息，尤其是在山石与植物细节上的表达中，展现出刚柔并济的艺术魅力。色彩搭配上以水墨为主，辅以淡彩，彰显出自然的清新与脱俗的风雅。动态与姿态上，人物与自然元素的相互呼应，运用夸张与真实的对比，赋予画作生命力。象征与图像方面，画面中的山水代表了隐逸之境，花卉象征着四季的变迁，人物则承载着文人情怀，整体传达出一种宁静而深远的哲思。","本乐曲意境宁静祥和，宜用古琴、箫、二胡，以中国传统古典乐风，以舒缓、流畅的节奏，表现云雾缭绕的山间仙境景象，以这些元素的结合，营造出画面宁静、诗意的氛围，凸显所描绘景物自然美与安详的气氛。","雅昌"
"10","1（10）","松梅对语图","张熊","1803","浙江嘉兴","海派","1842","清代","146x66cm","","花鸟画"," 松、梅、喜鹊","海派","小写意，兼工带写","墨色、淡彩","垂直构图","吉庆祥和，生机勃勃，富有诗意","勾花点叶法，笔法细腻生动","淡墨、浓墨相结合","纸本","植物染料，引入西洋红","","印鉴：张熊之印、子祥书画","这幅画展示了精巧的构图，将松树、梅花和岩石巧妙地结合在一起，形成一种自然的和谐。线条质量上，以细致而富有韧性的笔触描绘松针和梅枝，展现出植物的柔软与坚韧对比。象征与图像方面，松树和梅花常被视为坚韧与高洁的象征，预示着内在人格的理想。在动态与姿态上，松枝舒展，梅花点缀，形成自然的流动感。丰富的肌理处理，通过浓淡墨色变化，赋予画作一种细腻而逼真的质感。","乐曲意境宁静致远，富有诗意，以古琴、箫为乐器，采用中国传统古典音乐风格，节奏舒缓流畅，表现一只娇小的麻雀栖息在松树上，四周环绕着盛开的梅花和树叶，宁静和谐的自然景象。","雅昌"
